article,label,source_type,prompt_type,positive_score,negative_score,neutral_score,vader_compound,finbert_sentiment,flesch_score,gunning_fog,word_count,sentence_count,avg_sentence_length,capital_ratio,punctuation_count
We just covered the 10 Best Financial Stocks to Buy According to Warren Buffett and Citigroup Inc. (NYSE:C) ranks 10th on this list. Citigroup Inc. (NYSE:C) was once a consistent feature in the 13F portfolio of Berkshire Hathaway. The fund first disclosed a stake in the company back in the first quarter of 2022. Back […],0,real,original,0.071,0.0,0.929,0.6369,neutral,68.28602272727274,10.590909090909092,56.0,6.0,9.333333333333334,0.08385093167701864,13.0
"Torsten Slok, the Apollo Global Management (NYSE:APO) chief economist who has spent the past year warning that the Fed would have less room to cut than markets wanted, went on CNBC last week and essentially argued that his own thesis had just been overturned by a barrel of oil. The Federal Open Market Committee had ... Oil’s Plunge Below $80 Is Already Reshaping the Fed’s Rate Path, Says Apollo’s Torsten Slok",0,real,original,0.0,0.09,0.91,-0.6943,negative,56.25166666666668,13.904761904761905,71.0,3.0,23.666666666666668,0.08495145631067962,11.0
"Chevron and Microsoft announced a large co-located natural gas power plant and data center project in the US, focused on supporting AI infrastructure. The project is designed to secure dedicated energy capacity for Microsoft's growing AI data center workloads. The development plans to use non-freshwater sources and is expected to have a meaningful economic impact on the surrounding region. For investors watching Microsoft, ticker NasdaqGS:MSFT, this energy partnership comes at a time when...",0,real,original,0.255,0.0,0.745,0.9576,positive,28.382482876712345,18.258904109589043,73.0,5.0,14.6,0.04032258064516129,13.0
"Gas station operators including BP, Circle K, Marathon Petroleum, 7-Eleven, Walmart and Albertsons were sued ‌on Monday by California drivers who accused them of using ‌artificial intelligence to boost prices at the pump.  According to a proposed class action, the ​defendants violated California's main antitrust law, the Cartwright Act, by using an AI-based tool that uses data from competing gas stations to ""coordinate high prices and wring more money from the pockets of consumers.""",0,real,original,0.071,0.069,0.86,0.0516,negative,18.37189189189189,23.44864864864865,74.0,3.0,24.666666666666668,0.03696098562628337,14.0
"(Bloomberg) -- Qualcomm Inc. is in advanced talks to acquire Modular Inc. in a transaction valuing the artificial intelligence infrastructure software company at about $4 billion, according to people familiar with the matter.Most Read from BloombergSpaceX Falls for Third Day, Erases $600 Billion in Market ValueOracle Cut 21,000 Jobs in 12 Months, Says AI Replaced Some RolesStocks Fall as SpaceX’s Rout Offsets US-Iran Hopes: Markets WrapMeta Invests $900 Million in Cred, Taps Founder to Head What",0,real,original,0.124,0.025,0.851,0.802,negative,45.67575000000002,14.433333333333332,76.0,4.0,19.0,0.094,17.0
"We recently published Jim Cramer Discussed Expensive Phones, A Cheap Stock Sector & These 18 Stocks. Apple Inc. (NASDAQ:AAPL) is one of the stocks discussed by Jim Cramer. Consumer electronics giant Apple Inc. (NASDAQ:AAPL)’s shares are up by 47% over the past year and by 9.9% year-to-date. Several analysts have discussed the firm in June. […]",0,real,original,0.038,0.0,0.962,0.296,positive,70.5396666666667,8.023703703703704,56.0,8.0,7.0,0.11884057971014493,21.0
"Costco has a quiet public relations strategy that keeps it in the news without generating controversy. First, the chain never tells members exactly when it plans to raise the cost of a membership. It generally does that every five years, but its most recent increase happened seven years and two ...",0,real,original,0.063,0.0,0.937,0.5216,neutral,56.250333333333344,12.266666666666667,51.0,4.0,12.75,0.010033444816053512,7.0
"As the craze of earnings season draws to a close, here’s a look back at some of the most exciting (and some less so) results from Q1. Today, we are looking at consumer discretionary - footwear stocks, starting with Nike (NYSE:NKE).",0,real,original,0.079,0.036,0.884,0.4391,neutral,65.98000000000003,10.0,41.0,3.0,13.666666666666666,0.047619047619047616,11.0
"To look ⁠for ways to eradicate online listings, including through AI-enabled detection and prevention. Represent a ⁠fifth of the global e-commerce market and 90% of the world's social media users. Vodafone, Vodacom, Safaricom to use ​AI ​in anti-money-laundering and transaction monitoring ​systems across mobile money ‌platform M-Pesa.",0,real,original,0.0,0.0,1.0,0.0,neutral,28.933333333333337,16.479432624113475,47.0,4.0,11.75,0.03273809523809524,13.0
"Johnson & Johnson (NYSE:JNJ) is one of Kevin O’Leary’s top stock picks for 2026 through the O’Shares U.S. Quality Dividend ETF. The stock made up 5.33% of the ETF as of June 17, 2026. On June 15, 2026, Johnson & Johnson announced an investment of more than $1 billion in Jacksonville, Florida, to expand its […]",0,real,original,0.071,0.0,0.929,0.4767,positive,77.95524528301891,8.768301886792452,56.0,6.0,9.333333333333334,0.10289389067524116,19.0
"Chevron Corporation (NYSE:CVX) is one of the 10 Cheap Jim Cramer Stocks to Invest In Right Now. On May 21, 2026, Chevron U.S.A. Inc., a subsidiary of Chevron Corporation (NYSE:CVX), launched its next-generation Techron fuel additive across all grades at Chevron and Texaco stations nationwide. The scientifically tested reformulation is designed to protect engines from […]",0,real,original,0.071,0.0,0.929,0.4767,neutral,39.060568181818184,12.772727272727273,56.0,7.0,8.0,0.09919571045576407,19.0
"Exxon Mobil (NYSE:XOM) plans to change its legal domicile from New Jersey to Texas. The move will take effect on July 1, 2026, through a new parent company, ExxonMobil Holdings Corporation. Shareholders have approved the redomiciliation, which will make ExxonMobil Holdings Corporation the new publicly traded parent. Exxon Mobil is one of the largest integrated oil and gas companies, with operations that span exploration, production, refining, and chemicals. For investors, the announced...",0,real,original,0.082,0.0,0.918,0.6369,neutral,37.119,14.648888888888889,72.0,6.0,12.0,0.05273833671399594,19.0
"We recently published Jim Cramer Discussed Expensive Phones, A Cheap Stock Sector & These 18 Stocks. Salesforce, Inc. (NYSE:CRM) is one of the stocks discussed by Jim Cramer. Customer relationship management software products provider Salesforce, Inc. (NYSE:CRM)’s shares are down by 41% over the past year and by 40% year-to-date. Truist kept a Buy rating […]",0,real,original,0.038,0.0,0.962,0.296,negative,62.70633333333336,9.505185185185187,56.0,6.0,9.333333333333334,0.09722222222222222,21.0
"Yahoo Finance Senior Reporter Brooke DiPalma joins Josh Lipton in highlighting the day's biggest stories and stock moves, including AbbVie's (ABBV) $10.9 billion acquisition of Apogee Therapeutics (APGE) and Coca-Cola's (KO) latest legal showdown with the IRS in US appeals court.",0,real,original,0.036,0.0,0.964,0.128,neutral,33.33481707317074,16.98048780487805,41.0,3.0,13.666666666666666,0.10714285714285714,14.0
"If you are wondering whether Netflix stock looks cheap or expensive today, the key is understanding how its current price lines up with different measures of underlying value. The share price closed at US$72.89, with returns declining 10.8% over the past week, 17.7% over the past month, 19.9% year to date, and 41.9% over the last year, set against gains of 75.2% over three years and 36.7% over five years. Recent coverage has focused on how Netflix is balancing heavy content investment with...",0,real,original,0.108,0.0,0.892,0.8225,negative,75.07796987951811,7.17542168674699,83.0,11.0,7.545454545454546,0.014084507042253521,25.0
"We recently published Jim Cramer Discussed Expensive Phones, A Cheap Stock Sector & These 18 Stocks. CoreWeave Inc. (NASDAQ:CRWV) is one of the stocks discussed by Jim Cramer. AI computing infrastructure provider CoreWeave Inc. (NASDAQ:CRWV) is one of Jim Cramer’s favorite stocks. The shares are down by 35% over the past year and are up […]",0,real,original,0.088,0.0,0.912,0.6369,negative,73.67300000000003,9.505185185185187,56.0,6.0,9.333333333333334,0.13157894736842105,16.0
"Amazon (NASDAQ:AMZN) just posted a blowout quarter Q1 2026 EPS of $2.78 beat consensus by 60.69%, AWS reaccelerated to 28% growth, the fastest in 15 quarters, and chips business crossed a $20 billion annual run rate growing triple digits. Yet shares trade at $244.39, flat for the year. Can this stock reach $400 by 2028, ... Where Will Amazon Stock Be In 2 Years?",0,real,original,0.159,0.0,0.841,0.7906,neutral,82.21428571428574,6.774603174603175,64.0,8.0,8.0,0.07417582417582418,23.0
"(Bloomberg) -- Shares of stock-photo company Getty Images Holdings Inc. soared as much as 145% on Monday after it announced a licensing deal with OpenAI.Most Read from BloombergSpaceX Falls for Third Day, Erases $600 Billion in Market ValueIran Says Hormuz Closed Again as Talks With US Set to OpenStocks Fall as SpaceX’s Rout Offsets US-Iran Hopes: Markets WrapUS and Iran Make ‘Progress’ in Talks, Aim to Keep Hormuz OpenMeta Invests $900 Million in Cred, Taps Founder to Head WhatsAppIn a statemen",0,real,original,0.06,0.0,0.94,0.6124,negative,56.04083333333337,13.16666666666667,81.0,3.0,27.0,0.13,15.0
"With more Americans seeking out organic food and fresh produce, natural grocery chains like Sprouts Farmers Market stand to benefit. But there’s a lot of competition in the fresh produce lane. It's not just grocery chains such as Trader Joe’s and Whole Foods battling for market share; Sprouts also ...",0,real,original,0.22,0.045,0.734,0.8047,neutral,60.76687074829937,11.431292517006803,50.0,4.0,12.5,0.039735099337748346,8.0
"A few days after winning the 2024 elections, President Donald Trump ruled out offering a post to JPMorgan Chase & Co.’s CEO Jamie Dimon in his second-term administration. At the APEC CEO Summit in 2024, Peru, when Dimon was asked about Trump’s stance, he responded on a lighter note, “I wish the president well and thank you, it’s a very nice note, but I just want to tell the President also I haven’t had a boss for 25 years and I’m not about ready to start.” Don’t Miss: A single bad hire can set a",0,real,original,0.102,0.088,0.81,-0.3545,neutral,65.98250000000002,12.804255319148936,95.0,4.0,23.75,0.068,13.0
"Is PLUG a good stock to buy? We came across a bullish thesis on Plug Power Inc. on TradersPro’s Substack. In this article, we will summarize the bulls’ thesis on PLUG. Plug Power Inc.’s share was trading at $2.8000 as of June 15th. Plug Power, Inc. (PLUG) is positioned as a leading hydrogen energy infrastructure company benefiting […]",0,real,original,0.116,0.0,0.884,0.7351,positive,72.76456140350878,7.445614035087719,58.0,9.0,6.444444444444445,0.08333333333333333,15.0
"Block Inc (NYSE:SQ) shares rose 17% in early trade on Friday after the company reported fourth quarter earnings in line with analyst expectations and announced a major workforce reduction. The company said it is cutting more than 4,000 positions, reducing its staff by nearly half from over...",0,real,original,0.043,0.087,0.87,-0.296,negative,46.18250000000003,14.506382978723407,47.0,3.0,15.666666666666666,0.034129692832764506,10.0
"A recent Motley Fool Hidden Gems Investing segment featured guests Phil LeBrun, former international CIO of McDonald’s, and Dr. Jana Werner, executive advisor at AWS, who are co-authors of the book The Octopus Organization. The book describes how successful companies continue to evolve rather than declaring victory and standing still. Their core warning is aimed ... Experts Warn: Companies Cutting Headcount to Boost Efficiency May Be Betting on the Wrong Future",0,real,original,0.108,0.136,0.756,-0.0772,neutral,41.553571428571445,13.600000000000001,71.0,5.0,14.2,0.07956989247311828,12.0
"Bank of America (NYSE:BAC) card data points to a shift in U.S. consumer spending patterns, with lower income households closing the gap with higher income groups. The data suggests the previously discussed K shaped economy is fading as blue collar job growth supports spending at the lower end of the income spectrum. This development affects how Bank of America assesses consumer credit risk, loan demand, and its broader view of the U.S. economy. For investors watching Bank of America, this...",0,real,original,0.087,0.09,0.823,0.1779,positive,47.83250000000001,10.9,80.0,9.0,8.88888888888889,0.04233870967741935,17.0
"NIKE, Inc. recently announced that long-time director John Rogers, Jr. will retire from its Board after the September 2026 Annual Meeting, then continue as a strategic advisor focused on the future of sport and social community impact. This governance shift arrives as Nike balances a business turnaround, direct-to-consumer expansion, and high-profile World Cup marketing opportunities that spotlight its brand. We’ll now examine how John Rogers’ board exit and advisory role could influence...",0,real,original,0.069,0.0,0.931,0.6369,neutral,31.11500000000001,17.2,72.0,6.0,12.0,0.03838383838383838,16.0
SpaceX (SPCX) stock has sunk by as much as 13% in Monday's session — continuing to shave off any post-IPO gains — as the Elon Musk company is already announcing its first bond issuance. Yahoo Finance Senior Transports Reporter Pras Subramanian comes on Market Domination to further discuss these details.,0,real,original,0.047,0.023,0.93,0.296,negative,43.23750000000004,14.600000000000001,50.0,3.0,16.666666666666668,0.06907894736842106,7.0
"(Bloomberg) -- Gold slumped toward $4,000 an ounce and silver plunged as much as 5% as a broad selloff swept through financial markets.Most Read from BloombergSpaceX Falls for Third Day, Erases $600 Billion in Market ValueOracle Cut 21,000 Jobs in 12 Months, Says AI Replaced Some RolesKorean Stocks Tumble 10% as Extreme Volatility Rattles InvestorsStocks Fall as SpaceX’s Rout Offsets US-Iran Hopes: Markets WrapMeta Invests $900 Million in Cred, Taps Founder to Head WhatsAppBullion prices dropped",0,real,original,0.035,0.027,0.938,0.1779,negative,40.18050000000002,18.733333333333334,76.0,2.0,38.0,0.106,17.0
"Walt Disney Co (NYSE:DIS, XETRA:WDP) is expected to report modestly improving attendance trends at its domestic theme parks in its fiscal third quarter, Bank of America analysts have projected ahead of the entertainment giant’s upcoming report. The bank’s analysts wrote that Disney's...",0,real,original,0.123,0.0,0.877,0.6808,positive,34.448571428571455,17.923809523809524,42.0,3.0,14.0,0.07665505226480836,11.0
"Uber Technologies' board was sued on Monday by shareholders who accused management and directors of letting the ride-sharing company cut ‌corners on compliance, leading to thousands of lawsuits from victims of sexual ‌assault and harassment.  In a complaint filed in San Francisco federal court, shareholders led by a Detroit pension fund ​said board members ignored repeated internal and external warnings about Uber's alleged failure to address sexual abuse by drivers.  Shareholders said oversight failures were also a factor in two lawsuits last year by the federal government.",0,real,original,0.0,0.289,0.711,-0.9788,negative,28.62068965517244,19.41609195402299,87.0,4.0,21.75,0.01549053356282272,8.0
"American Eagle Outfitters, Inc. (NYSE:AEO) is included among the 13 Best Dividend Stocks to Buy Under $25. On June 1, Citi lowered its price recommendation on American Eagle Outfitters, Inc. (NYSE:AEO) to $18 from $24. It reiterated a Neutral rating on the stock. The update came following the company’s first-quarter results. The firm said momentum […]",0,real,original,0.07,0.025,0.905,0.5719,negative,51.19454545454548,8.96103896103896,56.0,7.0,8.0,0.09631728045325778,21.0
"Google stock investors were, for the most part, bracing for another AI spending headache. For some context, the tech giant had already bumped its full-year 2026 capex guidance to $180 billion to $190 billion, saying demand for AI compute is “unprecedented.” At the same time, 2027 capex is expected ...",0,real,original,0.0,0.03,0.97,-0.128,positive,64.21993197278914,8.982312925170069,50.0,4.0,12.5,0.023178807947019868,13.0
"Recent restructuring moves at PayPal Holdings (PYPL), including a cost saving drive centered on AI, leadership changes, and the wind down of PayPal Ventures, have sharpened investor focus on the stock’s long term direction. See our latest analysis for PayPal Holdings. Despite active restructuring and product partnerships such as Shopware Payments, PayPal’s share price has lost momentum, with the year to date share price return down 26.88% and the 1 year total shareholder return down 38.79%,...",0,real,original,0.054,0.056,0.889,-0.0408,negative,50.63157894736844,12.336842105263159,76.0,6.0,12.666666666666666,0.04417670682730924,18.0
"LONDON, June 23 (Reuters) - Independent energy firm NatPower and ‌Tesla said on Tuesday they had reached ‌a deal to build 25 gigawatt hours of battery storage ​in Italy and Britain, the first phase of a project worth up to $5 billion. Countries across Europe are ramping up battery storage projects to help ‌balance the rollout ⁠of intermittent renewable power capacity.",0,real,original,0.124,0.0,0.876,0.7269,positive,33.97500000000002,18.0,61.0,3.0,20.333333333333332,0.04594594594594595,8.0
"Caterpillar (NYSE:CAT) is supplying engines and turbines to power a massive Microsoft AI data center in West Texas. The project is tied to a 20-year natural gas supply agreement between Chevron and Microsoft. Caterpillar's Power Generation segment is seeing strong demand, with record order backlogs linked to AI-related infrastructure projects. This new role in powering a large AI data center puts Caterpillar directly in the path of long-term computing and energy buildouts. While the company...",0,real,original,0.134,0.018,0.847,0.8625,positive,37.07400000000001,13.466666666666669,75.0,6.0,12.5,0.05220883534136546,15.0
"Shanghai Disney Resort, part of Walt Disney's global operations, is planning a multi billion dollar expansion that includes new hotels and an additional theme park. The build out sits alongside upcoming theatrical releases such as Toy Story 5 and new animated content that are expected to support the Experiences and film segments. The combined investment in physical assets and content is intended to deepen Disney's presence in the Chinese market and broaden its global entertainment...",0,real,original,0.091,0.0,0.909,0.7351,positive,29.180000000000007,17.46666666666667,75.0,4.0,18.75,0.02459016393442623,9.0
"(Bloomberg) -- Andy Cheng is 26, unemployed and, with the help of a little borrowed money, the proud owner of $60,000 worth of Taiwanese tech stocks. And in many ways, he speaks for the entire island of 23 million people when he doles out the following advice: “Buy any stock and you will make money.”AI mania has gripped any number of stock markets across the globe in recent months — South Korea, China, the US — but perhaps nowhere is at it as frenzied as here in Taiwan, the No. 1 producer of the",0,real,original,0.067,0.0,0.933,0.5423,neutral,64.7459478021978,11.737362637362637,94.0,4.0,23.5,0.03,17.0
"Latham Group is back in focus as analysts adjust their price targets, with some lifting expectations and others cutting targets by US$1. These opposing moves reflect a split view on how current execution and growth potential stack up against where the stock trades today. As you read on, you will see how to track these shifting calls and what they might mean for following the evolving Latham Group story. Analyst Price Targets don't always capture the full story. Head over to our Company Report...",0,real,original,0.03,0.017,0.952,0.2732,neutral,62.883000000000024,10.053333333333335,84.0,6.0,14.0,0.028,11.0
"Dell Technologies recently completed several fixed-income offerings totaling about US$3.0 billion in senior unsecured notes maturing between 2031 and 2037, secured a new US$6.0 billion revolving credit facility, and affirmed a quarterly dividend of US$0.63 per share payable on July 31, 2026. At the same time, Dell is expanding its role in AI infrastructure by launching Vera Rubin–based PowerEdge servers, shipping rack-scale AI systems to partners like CoreWeave, and collaborating with AMD...",0,real,original,0.126,0.033,0.842,0.7506,positive,41.81900000000002,15.204444444444446,72.0,6.0,12.0,0.04838709677419355,18.0
"Coca-Cola is a dividend king with 64 straight years of payout increases, a presence in more than 200 countries, and a place in the Dow. The Internal Revenue Service believes the beverage giant owes up to $20 billion in additional taxes and interest tied to its overseas profit allocations. A federal ...",0,real,original,0.137,0.0,0.863,0.7783,positive,41.611323529411806,18.04313725490196,52.0,4.0,13.0,0.026402640264026403,9.0
"(Bloomberg) -- Deutsche Bank AG reduced gold price forecasts by as much as 22%, as investors become more wary about the outlook for US monetary policy and investment demand for the precious metal dries up.Most Read from BloombergSpaceX Falls for Third Day, Erases $600 Billion in Market ValueOracle Cut 21,000 Jobs in 12 Months, Says AI Replaced Some RolesKorean Stocks Tumble 10% as Extreme Volatility Rattles InvestorsStocks Fall as SpaceX’s Rout Offsets US-Iran Hopes: Markets WrapMeta Invests $90",0,real,original,0.077,0.043,0.88,0.5994,negative,32.6172402597403,20.075324675324676,78.0,2.0,39.0,0.1,15.0
"The average American household spent about $200 per month on gasoline according to the latest federal expenditure data. With gasoline prices remaining elevated in 2026, many families are paying considerably more. Most people treat their gas bill as a fact of life. Investors can treat it as an income target. The goal is simple: build ... The Portfolio That Quietly Pays For Your Gasoline Forever",0,real,original,0.086,0.0,0.914,0.7133,neutral,46.636458333333366,11.766666666666666,65.0,6.0,10.833333333333334,0.03787878787878788,10.0
"(Bloomberg) -- SpaceX shares extended declines in premarket trading, a day after the company saw the second-largest single-session drop in market value on record. Most Read from BloombergSpaceX Falls for Third Day, Erases $600 Billion in Market ValueOracle Cut 21,000 Jobs in 12 Months, Says AI Replaced Some RolesKorean Stocks Tumble 10% as Extreme Volatility Rattles InvestorsStocks Fall as SpaceX’s Rout Offsets US-Iran Hopes: Markets WrapMeta Invests $900 Million in Cred, Taps Founder to Head Wh",0,real,original,0.09,0.051,0.86,0.4939,negative,32.28450000000001,19.8,76.0,2.0,38.0,0.104,17.0
"(Bloomberg) -- The Iran war caused one of the biggest supply shocks to ever hit the aluminum market, but the runaway price surge that many were bracing for has been blunted by the ingenuity of producers from the Middle East to China. Most Read from BloombergIran Says Hormuz Closed Again as Talks With US Set to OpenUS and Iran Make ‘Progress’ in Talks, Aim to Keep Hormuz OpenIranian Negotiators Said to Still Be Engaged in Talks With USDOJ Rejects Judge Request to Certify $1.8 Billion Fund NixedTr",0,real,original,0.037,0.09,0.873,-0.6124,negative,50.83833333333335,15.187596899224808,87.0,3.0,29.0,0.102,9.0
"Shares of enterprise software giant Oracle (NYSE:ORCL) fell 5% in the afternoon session after a confluence of high-profile AI talent departures from Alphabet, and a regulatory overhang pulled the entire communication-services and software complex lower. Alphabet fell roughly 6%. Microsoft slipped as well. When the two largest software-adjacent megacaps decline together, the sector indices follow mechanically given their index weight. But the deeper driver was the market's persistent fear that AI",0,real,original,0.066,0.077,0.858,-0.431,negative,29.179746478873227,15.257464788732392,71.0,5.0,14.2,0.038,15.0
"When a manufacturer discontinues a product, it knows it's running the risk of alienating some customers. When Coca-Cola killed TaB, its first diet cola, the chain angered a dedicated fanbase that has protested the loss since. ""Coca-Cola’s first diet cola. Discontinued in 2020 after 57 years, but ...",0,real,original,0.037,0.175,0.787,-0.6542,negative,45.50875000000002,12.359574468085107,48.0,5.0,9.6,0.03,14.0
"(Bloomberg) -- Sony Group Corp. was still marketing the original PlayStation when it last tapped the US investment-grade bond market. Almost three decades later, it’s readying a comeback. Most Read from BloombergSpaceX Falls for Third Day, Erases $600 Billion in Market ValueOracle Cut 21,000 Jobs in 12 Months, Says AI Replaced Some RolesKorean Stocks Tumble 10% as Extreme Volatility Rattles InvestorsStocks Fall as SpaceX’s Rout Offsets US-Iran Hopes: Markets WrapMeta Invests $900 Million in Cred",0,real,original,0.064,0.027,0.909,0.4588,negative,50.86831081081081,12.805405405405407,75.0,4.0,18.75,0.108,17.0
"United Microelectronics Corp. (NYSE:UMC) is one of the 10 Stocks Paying Off Big Time. United Microelectronics saw its share prices jump to a new all-time high, as investors loaded portfolios following reports that it is collaborating with Intel Corp. for the production of semiconductors. In intra-day trading, the stock climbed to its highest price of […]",0,real,original,0.128,0.0,0.872,0.7783,positive,44.928181818181855,10.945454545454545,56.0,5.0,11.2,0.056179775280898875,13.0
"Block Inc (NYSE:SQ) shares rose about 6.5% after it reported stronger-than-expected first-quarter 2026 earnings, highlighted by solid profit growth and improved margins, despite a slight revenue miss. Block (XYZ) reported adjusted earnings per share of $0.85, above analyst expectations of...",0,real,original,0.278,0.131,0.591,0.7745,positive,50.75,12.0,40.0,5.0,8.0,0.0410958904109589,19.0
"Eli Lilly (NYSE: LLY) and Pfizer (NYSE: PFE) just delivered Q1 2026 results that read like two different chapters of the same drug industry. Lilly is sprinting through an obesity gold rush. Pfizer is rebuilding after COVID and buying its way into the same race. Both beat estimates, but the businesses underneath could not feel ... Eli Lilly vs Pfizer: One Owns the Obesity Market Today, The Other Paid to Compete Tomorrow",0,real,original,0.024,0.0,0.976,0.1901,positive,58.96847887323946,10.187042253521128,72.0,5.0,14.4,0.0924170616113744,15.0
"Stephen Parker, co-head of global investment strategy at JPMorgan Private Bank, told CNBC that “the rally that we’ve seen this year has been entirely earnings driven. Even the most bullish expectations have been consistently exceeded.” His base case puts the S&P 500 at 7800 by year-end, with a bull case of 8900. The stakes are ... JPMorgan: 2026 rally entirely earnings-driven, bull case targets 8900 by year-end",0,real,original,0.0,0.0,1.0,0.0,neutral,57.564272727272765,11.340606060606062,67.0,5.0,13.4,0.04589371980676329,16.0
"We recently published Jim Cramer Discussed Expensive Phones, A Cheap Stock Sector & These 18 Stocks. Amazon.com, Inc. (NASDAQ:AMZN) is one of the stocks discussed by Jim Cramer. eCommerce and cloud computing giant Amazon.com, Inc. (NASDAQ:AMZN)’s shares are up by a modest 16.6% over the past year and by 7.9% year-to-date. Like other hyperscalers, the […]",0,real,original,0.08,0.0,0.92,0.5719,positive,72.3666666666667,8.044444444444444,56.0,10.0,5.6,0.11235955056179775,26.0
